location ,sqft_area,price,bathrooms,rooms
Naya Ganj,400,20.95,2 bath,2 BHK
Indrapuram,1200,170,2 bath,3 BHK
vasundhara,850,32,2 bath,2 BHK
Gyan Khand,850,35,2 bath,2 BHK
Vasundhara,1280,54,2 bath,3 BHK
Old Ghaziabad,850,210,2 bath,3 BHK
Shalimar garden,410,15,1 bath,1 BHK
Loni,400,9,2 bath,1 BHK
Mohan Nagar,1410,51,2 bath,3 BHK
Mohan Nagar,1510,55.25,2 bath,2 BHK
Turab Nagar,750,13.39,2 bath,2 BHK
Loni,750,14,2 bath,2 BHK
Sahibabad,700,24.5,2 bath,1 BHK
Loni,800,14.18,2 bath,2 BHK
Ghandi Nagar,728,29.4,2 bath,2 BHK
DLF Dilshad,400,9.85,1 bath,1 BHK
Loni,400,10.2,2 bath,1 BHK
Bhopura,324,11.5,2 bath,1 BHK
 Pilkhuwa ,470,7.14,1 bath,1 BHK
Bhopura,600,21.25,2 bath,1 BHK
Bhopura,450,12.6,1 bath,1 BHK
Crossing Republik,2250,95,4 bath,4 BHK
Crossing Republik,1050,37.5,2 bath,2 BHK
Crossing Republik,1530,55,3 bath,3 BHK
Crossing Republik,1190,43,2 bath,2 BHK
Crossing Republik,1350,70,2 bath,3 BHK
Crossing Republik,1680,65.65,2 bath,3 BHK
Old Ghaziabad,850,210,2 bath,3 BHK
Lal Kuan,720,28,2 bath,2 BHK
Lal Kuan,360,15.5,1 bath,1 BHK
Lal Kuan,520,22,1 bath,2 BHK
Lal Kuan,570,27,2 bath,2 BHK
Lal Kuan,540,21,2 bath,2 BHK
Lal Kuan,580,25,2 bath,2 BHK
Lal Kuan,450,19,1 bath,1 BHK
Lal Kuan,850,39,2 bath,3 BHK
Lal Kuan,540,29,2 bath,2 BHK
Lal Kuan,1120,40,2 bath,3 BHK
Lal Kuan,800,37,2 bath,2 BHK
Lal Kuan,640,45.2,2 bath,2 BHK
Lal Kuan,1350,63,3 bath,4 BHK
Lal Kuan,720,36,2 bath,3 BHK
Lal Kuan,612,32,2 bath,2 BHK
Lal Kuan,605,29,2 bath,2 BHK
Kavi Nagar,4280,309,2 bath,4 BHK
Lal Kuan,950,28,2 bath,3 BHK
Lal Kuan,950,45,2 bath,3 BHK
Lal Kuan,910,28,2 bath,3 BHK
Lal Kuan,675,22,2 bath,2 BHK
Lal Kuan,495,19,1 bath,1 BHK
Lal Kuan,620,21,2 bath,2 BHK
NH 58,610,20.19,1 bath,1 BHK
Old Ghaziabad,850,210,2 bath,3 BHK
Sadarpur,753,29.25,2 bath,2 BHK
Kavi Nagar,4280,309,2 bath,4 BHK
Raj Nagar extension,1230,53,2 bath,2 BHK
Raj Nagar extension,1140,45,2 bath,3 BHK
Raj Nagar extension,925,38,2 bath,2 BHK
Vijai Nagar,800,33,2 bath,2 BHK
Raj Nagar extension,1180,45,2 bath,2 BHK
Raj Nagar extension,1180,45,2 bath,2 BHK
Lohia Nagar,3500,210,3 bath,3 BHK
Raj Nagar extension,800,34,2 bath,2 BHK
Raj Nagar extension,890,39,2 bath,2 BHK
Raj Nagar extension,930,31,2 bath,2 BHK
Raj Nagar extension,3900,750,2 bath,3 BHK
Raj Nagar extension,1066,43,2 bath,2 BHK
Ankur vihar,450,11,1 bath,1 BHK
NH 24,585,15.99,1 bath,1 BHK
Shalimar garden,500,19,1 bath,1 BHK
NH 24,610,20.25,1 bath,1 BHK
 Wave City ,581,16,1 bath,1 BHK
 Siddhartha Vihar,517,21.25,1 bath,1 BHK
"Rajendra Nagar, Ghaziabad",580,27,1 bath,1 BHK
Raj Nagar extension,342,20,1 bath,1 BHK
NH 24,530,16,1 bath,1 BHK
 Vaishali Sector 2A,500,28,1 bath,1 BHK
Nyay khand,450,16,1 bath,1 BHK
"Indirapuram, Rail Vihar, Ghaziabad",450,10,1 bath,1 BHK
Raj Nagar extension,785,21,1 bath,1 BHK
Vasundhara Sector 3,500,29,1 bath,1 BHK
Sadarpur,288,1,1 bath,1 BHK
Nyay khand,377,20,1 bath,1 BHK
Ankur vihar,750,18.5,1 bath,1 BHK
 Rajendra Nagar sector 4,204,18,1 bath,1 BHK
NH 24,585,20,1 bath,1 BHK
Ankur vihar,530,7,1 bath,1 BHK
Niti khand,600,24.75,1 Bath,1 BHK
Shakti Khand 3,600,22.75,1 Bath,1 BHK
Lal Kuan ,950,25.5,2 Baths,3 BHK
Niti khand,1250,63.45,2 Baths,3 BHK
Shakti Khand 3 ,2200,160,3 Baths,4 BHK
Vasundhara,1750,81,2 Baths,3 BHK
 Vasundhara Sector 12 ,1400,130,3 Baths,3 BHK
Vasundhara Sector 1,1000,95,2 Baths,3 BHK
Indirapuram,1350,60,2 Baths,3 BHK
Shakti Khand 2,1750,148,3 Baths,4 BHK
NH 24,850,39.49,2 Baths,2 BHK
Vaishali sector 4,2500,105,3 Baths,3 BHK
Vaishali sector 4,2300,210,3 Baths,4 BHK
NH 91,2000,160,3 Baths,4 BHK
Indirapuram,1500,90,3 Baths,3 BHK
Vasundhara ,1350,55,2 Baths,3 BHK
Vasundhara sector 1,945,45,2 Baths,3 BHK
Indirapuram,1800,115,3 Baths,4 BHK
Indirapuram,2500,190,4 Baths,4 BHK
Vasundhara ,2000,155,3 Baths,4 BHK
Vaishali sector 6,1050,42,2 Baths,2 BHK
Vaishali sector 4,1400,72,2 Baths,3 BHK
Vasundhara ,1400,42,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",1378,75,3 Baths,3 BHK
"Ghaziabad, Ghaziabad District",1500,90,2 Baths,3 BHK
Vasundhara,950,47.4,2 Baths,2 BHK
Niti khand,1450,65.21,3 Baths,3 BHK
vijay nagar,2400,138,3 Baths,3 BHK
vijay nagar,1500,68,3 Baths,5 BHK
vijay nagar,1782,200,2 Baths,3 BHK
"Sector 1 , Indarapuram, Ghaziabad",1350,60.51,2 Baths,3 BHK
Niti khand,1450,87.98,2 Baths,3 BHK
Vasundhara,1100,68.51,3 Baths,3 BHK
Shakti Khand 3 ,950,26.99,2 Baths,2 BHK
NH 91,1060,26.5,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",2000,190,3 Baths,4 BHK
Shakti Khand,1050,54.21,2 Baths,2 BHK
vijay nagar,925,35,2 Baths,2 BHK
Niti khand,1450,63.51,2 Baths,3 BHK
Niti khand,1420,66,3 Baths,3 BHK
 Vasundhara Sector 12 ,1550,85,3 Baths,3 BHK
Vasundhara Sector 5,1300,43.67,2 Baths,3 BHK
Indirapuram,1400,75,2 Baths,3 BHK
Raj Nagar extension,2350,55,4 Baths,5 BHK
Indirapuram,1410,75,2 Baths,3 BHK
Vasundhara,1800,118,3 Baths,4 BHK
Vasundhara ,900,42,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",1800,87,1 Bath,1 BHK
Gyan Khand,1000,48.51,2 Baths,2 BHK
Niti khand,1500,80.99,3 Baths,3 BHK
Indirapuram,2500,135,3 Baths,4 BHK
Vasundhara,2250,148,3 Baths,4 BHK
Indirapuam ,3850,270,5 Baths,5 BHK
Indirapuram,2550,178,4 Baths,4 BHK
Gyankhand,900,45,2 Baths,2 BHK
Vasundhara,1650,98,3 Baths,4 BHK
Indirapuram,1320,70.5,2 Baths,3 BHK
NH 91,950,38.75,2 Baths,2 BHK
NH 91,900,51.51,2 Baths,2 BHK
Indirapuram,1300,78,2 Baths,3 BHK
Indirapuram,1400,80,2 Baths,3 BHK
Indirapuram,2425,188,3 Baths,4 BHK
Vasundhara,600,135,4 Baths,8 BHK
"Ghaziabad, Ghaziabad District",1000,49,2 Baths,2 BHK
"PARISHA HOMES, Lal Kuan,",870,36,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",1100,58,2 Baths,3 BHK
Sahibabad,7200,450,4 Baths,5 BHK
"Ghaziabad, Gautam Buddh Nagar District",504,19.7,1 Bath,1 BHK
"Ghaziabad, Ghaziabad District",9500,290,9 Baths,10 BHK
 Vaishali Sector 4 ,1450,69,2 Baths,3 BHK
"Ghaziabad, Gautam Buddh Nagar District",2400,131,4 Baths,5 BHK
 Wave City ,900,36,2 Baths,3 BHK
 Wave City ,899,37.89,2 Baths,3 BHK
 Vasundhara Sector 12 ,1540,75,1 Bath,4 BHK
Niti khand,1020,28.75,2 Baths,2 BHK
Niti khand,1240,71.55,2 Baths,3 BHK
Vasundhara sector 10,1850,105,3 Baths,4 BHK
vijay nagar,780,30,1 Bath,1 BHK
Vasundhara,1600,48.4,2 Baths,3 BHK
Niti khand,1550,86.51,2 Baths,3 BHK
Niti khand,650,19.99,1 Bath,1 BHK
Shakti Khand ,1800,105,3 Baths,4 BHK
Niti khand,1050,35.99,1 Bath,2 BHK
Vasundhara,1354,72.9,3 Baths,3 BHK
Shakti Khand 2,1020,33.99,2 Baths,2 BHK
Niti khand,1205,86.21,3 Baths,3 BHK
Mansarovar Park Lal Kuan Ghaziabad,504,21,1 Bath,1 BHK
Shakti Khand,1250,44.85,3 Baths,3 BHK
Shakti Khand,1380,63.75,3 Baths,3 BHK
 Wave City ,1475,58.6,2 Baths,3 BHK
Vasundhara Sector 5,2700,115,4 Baths,4 BHK
 Wave City ,1284,61,3 Baths,3 BHK
 Wave City ,1284,61,3 Baths,3 BHK
Niti khand,2400,199,4 Baths,4 BHK
Shakti Khand 2,1400,115,3 Baths,4 BHK
Shakti Khand 3,1500,115,3 Baths,4 BHK
Vasundhara Sector 5,2700,115,3 Baths,4 BHK
Vasundhara sector 1,900,41.98,2 Baths,2 BHK
Niti khand,2960,249,5 Baths,5 BHK
Vasundhara Sector 5,1450,67.8,2 Baths,3 BHK
Shakti Khand 2,2000,115,3 Baths,4 BHK
Vasundhara sector 13,1150,59.15,2 Baths,3 BHK
Niti khand,1310,48.75,2 Baths,3 BHK
Shakti Khand ,2200,136,4 Baths,4 BHK
Niti khand,2400,130,4 Baths,4 BHK
Niti khand,2400,130,4 Baths,4 BHK
Gyan khand,1346,125,3 Baths,3 BHK
Shakti Khand 3,2200,135,4 Baths,4 BHK
vasundhara sector 3,1025,37.35,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",1200,38,3 Baths,3 BHK
"Ghaziabad, Ghaziabad District",500,18.6,1 Bath,1 BHK
Vasundhara Sector 5,1800,98,3 Baths,4 BHK
"Ghaziabad, Ghaziabad District",290,18,1 Bath,1 BHK
Niti khand,2450,225,4 Baths,4 BHK
Gyan Khand,1350,54.95,2 Baths,3 BHK
Vasundhara,1300,78.6,3 Baths,3 BHK
NH 91,1200,55,2 Baths,3 BHK
Vaishali sector 4,2250,158,4 Baths,4 BHK
"Ghaziabad, Ghaziabad District",850,37,2 Baths,2 BHK
Vasundhara,1950,113,3 Baths,4 BHK
Vasundhara,1800,92.1,3 Baths,4 BHK
Vasundhara,2150,118,4 Baths,4 BHK
Vasundhara,1420,48.5,3 Baths,3 BHK
Raj Nagar extension,2000,120,3 Baths,3 BHK
Indirapuram,2200,160,3 Baths,4 BHK
Vasundhara,1700,83,3 Baths,3 BHK
Indirapuram,1205,64,2 Baths,3 BHK
Vaishali sector 4,1380,95.5,2 Baths,3 BHK
Indirapuram,1410,75.15,2 Baths,3 BHK
Indirapuram,1350,56,2 Baths,3 BHK
Indirapuram,1425,80,2 Baths,3 BHK
Shakti khand 4,1204,70,3 Baths,3 BHK
Shakti Khand,1205,70,3 Baths,3 BHK
Shakti Khand,1205,70.1,3 Baths,3 BHK
Vasundhara,3480,275,5 Baths,5 BHK
Vasundhara ,3450,270,5 Baths,5 BHK
Vasundhara,2950,275,4 Baths,5 BHK
Indirapuram,2785,210,4 Baths,4 BHK
Vasundhara,810,39.5,2 Baths,2 BHK
Lal Kuan,870,18.1,2 Baths,2 BHK
Vaishali Sector 3  ,350,15.5,1 Bath,1 BHK
vijay nagar,1950,110,3 Baths,4 BHK
Vaishali Sector 3  ,350,15.5,1 Bath,1 BHK
Govindpuram,100,35.5,2 Baths,3 BHK
Vasundhara ,1500,73.5,2 Baths,3 BHK
Indirapuram,1415,70,2 Baths,3 BHK
"Ghaziabad, Ghaziabad District",1377,42,2 Baths,3 BHK
Indirapuram,1700,91,3 Baths,3 BHK
"Ghaziabad, Ghaziabad District",760,27.25,1 Bath,2 BHK
Vasundhara Sector 14,3800,225,4 Baths,10 BHK
Vaishali Sector 3,1700,125,3 Baths,3 BHK
 Vaishali Sector 4 ,1200,58,2 Baths,3 BHK
Vaishali Sector 3,700,27,1 Bath,1 BHK
Vasundhara Sector 5,1100,56,2 Baths,3 BHK
Vasundhara,2100,140,4 Baths,4 BHK
Vasundhara,1900,130,3 Baths,4 BHK
Vasundhara,1400,70,3 Baths,3 BHK
Sai Garden Chipiyana Ghaziabad,904,32.91,2 Baths,2 BHK
Vasundhara,2200,200,3 Baths,4 BHK
"Rajendra Nagar, Rajendra Nagar, Ghaziabad, Ghaziabad District, Ghaziabad District",2200,225,3 Baths,6 BHK
Niti khand,2500,230,4 Baths,4 BHK
Niti khand,2500,210,4 Baths,4 BHK
Mansarovar Park Lal Kuan Ghaziabad,815,32,2 Baths,2 BHK
Mansarovar Park Lal Kuan Ghaziabad,560,21.75,1 Bath,1 BHK
Vasundhara,1400,70,3 Baths,3 BHK
NH 91,2200,145,4 Baths,4 BHK
Sai Garden Chipiyana Ghaziabad,937,34.27,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",715,28.01,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",902,32.15,2 Baths,2 BHK
Mansarovar Park Lal Kuan Ghaziabad,451,19.39,1 Bath,1 BHK
Vasundhra,1400,85,3 Baths,3 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",602,23.789,2 Baths,2 BHK
Sai Enclave Chipiyana Ghaziabad,850,34.5,2 Baths,2 BHK
Mansarovar Park Lal Kuan Ghaziabad,735,27,1 Bath,2 BHK
Niti khand,2500,135,4 Baths,4 BHK
 Vasundhara Sector 11,1434,76.5,3 Baths,3 BHK
Vasundhara Sector 5,1200,79.65,2 Baths,3 BHK
Vaishali Sector 3  ,1800,131,3 Baths,4 BHK
vasundhara sector 3,1400,67.1,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",2600,104,3 Baths,4 BHK
Vasundhara sector 2b,1250,45.79,2 Baths,3 BHK
Vasundhara sector 9,1440,310,3 Baths,3 BHK
Vasundhara Sector 1 ,1475,72.51,3 Baths,3 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",1080,39,2 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1000,42,2 Baths,2 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",540,18.5,1 Bath,2 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",540,15.99,1 Bath,2 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",540,17.99,2 Baths,2 BHK
Raj Nagar extension,1800,120,3 Baths,5 BHK
Raj Nagar extension,1706,64,3 Baths,3 BHK
Raj Nagar extension,1890,73.5,4 Baths,4 BHK
"Vasundara, Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1320,58,2 Baths,6 BHK
Vasundhara sector 13,1300,58.5,2 Baths,3 BHK
 Vaishali Sector 4 ,1475,75.89,2 Baths,3 BHK
"Vasundara, Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",2260,152,4 Baths,4 BHK
"Lal Kua, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",405,15.9,1 Bath,2 BHK
Vaishali sector 4,1775,123,3 Baths,4 BHK
Vaishali sector 6,2600,130,4 Baths,4 BHK
 Vaishali Sector 4 ,1500,230,2 Baths,2 BHK
"Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",2000,125,3 Baths,4 BHK
Niti khand,1245,80,2 Baths,3 BHK
"Vaishali, Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",3000,130,4 Baths,4 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",850,32,1 Bath,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1400,75,3 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1400,75,3 Baths,4 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",900,38,4 Baths,6 BHK
Gyan Khand,850,35.1,2 Baths,2 BHK
Shakti Khand 3,850,38.51,2 Baths,2 BHK
Vaishali sector 4,1520,82,2 Baths,3 BHK
"Bulandshahr Road Industrial Area, Bulandshahr Road Industrial Area, Ghaziabad, Ghaziabad District, Ghaziabad District",1800,75,3 Baths,4 BHK
Shakti khand 4,1204,57.5,3 Baths,3 BHK
Shakti Khand,1204,61.5,3 Baths,3 BHK
Vasundhara,1150,45,2 Baths,3 BHK
Vasundhara,1450,56.9,2 Baths,3 BHK
NH 91,1700,106,3 Baths,4 BHK
Niti khand,1250,65,2 Baths,3 BHK
Vasundhara,1355,50,2 Baths,3 BHK
Gyan Khand 1,1075,46.51,2 Baths,2 BHK
Gyan Khand 2 ,1575,89.79,3 Baths,3 BHK
Gyan Khand 1,1275,57.51,2 Baths,3 BHK
Shakti Khand 2 ,1375,68.51,2 Baths,3 BHK
Vasundhara,2100,98.5,3 Baths,12 BHK
Vasundhara Sector 1 ,1325,65.75,2 Baths,3 BHK
Niti khand,2500,190,4 Baths,4 BHK
Shakti Khand  ,1205,82,3 Baths,3 BHK
 Vaishali Sector 4 ,1415,78,2 Baths,3 BHK
 Vasundhara Sector 12 ,2475,165,4 Baths,4 BHK
Indirapuram,1205,61.9,3 Baths,3 BHK
Vasundhara,1740,95,3 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1350,85,2 Baths,3 BHK
Shakti khand 4,1205,90,3 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",890,63,2 Baths,3 BHK
NH 91,1646,72.8,2 Baths,3 BHK
Vasundhara,1075,44.51,2 Baths,2 BHK
Vasundhara,1580,75.5,2 Baths,3 BHK
Shakti Khand,1600,150,3 Baths,4 BHK
Shakti Khand ,1500,62,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1486,76,3 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",2261,211,4 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",850,56,2 Baths,3 BHK
Vasundhara Sector 1 ,1150,44.91,2 Baths,3 BHK
Vasundhara sector 13,3000,400,3 Baths,3 BHK
Vaishali,1200,67.8,2 Baths,3 BHK
Vasundhara sector 13,3000,400,3 Baths,3 BHK
Vasundhara sector 13,3000,390,3 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",850,58,2 Baths,3 BHK
Lal Kuan Ghaziabad Mansarover Park,800,41.5,2 Baths,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",883,56,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1745,146,3 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",550,91,6 Baths,6 BHK
Crossing Republik,1525,51.05,1 Bath,1 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1743,80,2 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1700,95.6,2 Baths,3 BHK
Crossing Republik,855,41,1 Bath,1 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1325,69.51,3 Baths,3 BHK
Vasundhara,1700,95,3 Baths,4 BHK
Vaishali sector 6,950,51,2 Baths,2 BHK
Raj Nagar extension,639,28.4,2 Baths,2 BHK
"Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",1300,80.5,2 Baths,3 BHK
Vasundhara Sector 1,980,120,2 Baths,2 BHK
Kavi Nagar,3150,160,3 Baths,4 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1900,95,4 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",2152,175,4 Baths,4 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1000,45,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad",790,32.5,1 Bath,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1400,75.4,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1100,46.5,2 Baths,2 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1800,81,4 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1250,53.5,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1400,50,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1490,78.6,3 Baths,6 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",930,37,2 Baths,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1350,66.7,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1350,62.5,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1800,130,3 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1300,62.8,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1550,106,2 Baths,3 BHK
Vaishali sector 4,1100,53,2 Baths,2 BHK
Vasundhara Sector 14,3800,214,5 Baths,5 BHK
 Vasundhara Sector 12 ,2000,165,3 Baths,4 BHK
Vasundhara Sector 5,798,25.66,2 Baths,2 BHK
Vasundhara sector 2b,1950,94.6,3 Baths,4 BHK
Vasundhara Sector 1,1350,62,3 Baths,3 BHK
Vasundhara sector 2b,1475,49.5,2 Baths,3 BHK
Vasundhara Sector 1,950,43,2 Baths,2 BHK
Vasundhara sector 3,975,42.9,2 Baths,80 BHK
Vasundhara sector 2b,925,28.8,1 Bath,2 BHK
Vaishali sector 1,1000,55,2 Baths,2 BHK
vasundhara sector 3,950,40.21,2 Baths,2 BHK
Vasundhara sector 11,925,44.9,2 Baths,2 BHK
Vasundhara sector 1,950,34.5,2 Baths,2 BHK
Vasundhara sector 1,1625,64.5,2 Baths,3 BHK
Shakti Khand,1450,71.51,2 Baths,3 BHK
Vasundhara sector 1,1350,47.49,2 Baths,80 BHK
NH 91,1400,55,2 Baths,3 BHK
Vaishali sector 4,1800,122,2 Baths,3 BHK
Vasundhara sector 15,1650,72,2 Baths,3 BHK
Raj Nagar extension,1570,132,3 Baths,4 BHK
vijay nagar,950,170,4 Baths,6 BHK
Vasundhara Sector 5,1655,125,3 Baths,4 BHK
NH 91,900,42,2 Baths,2 BHK
Vasundhara sector 3,925,43,2 Baths,2 BHK
Niti khand,2446,195,3 Baths,4 BHK
 Vaishali Sector 4 ,1550,99.11,3 Baths,3 BHK
"Ghaziabad, Ghaziabad District",3500,120,3 Baths,6 BHK
Lal Kuan ,400,13.6,1 Bath,2 BHK
Govindpuram,3550,91,6 Baths,7 BHK
vijay nagar,1400,68,2 Baths,4 BHK
Gyan Khand 1 ,1450,66,3 Baths,3 BHK
Niti khand,1050,35.7,2 Baths,2 BHK
 Vaishali Sector 2A,550,18,2 Baths,1 BHK
Shastri Nagar,2000,210,4 Baths,6 BHK
NH 91,1400,45.99,2 Baths,3 BHK
Vasundhara Sector 5,2000,80.99,3 Baths,4 BHK
vijay nagar,1440,145,3 Baths,4 BHK
Sahibabad,1200,38,3 Baths,3 BHK
"Ghaziabad, Gautam Buddh Nagar District",650,40,2 Baths,2 BHK
Gyan Khand 1,650,23.75,1 Bath,1 BHK
Vasundhara,1000,28.99,2 Baths,2 BHK
Govindpuram,1620,42,2 Baths,3 BHK
Niti khand,1050,31.25,2 Baths,2 BHK
vijay nagar,1390,45.99,2 Baths,3 BHK
"Ghaziabad, Ghaziabad District",1500,130,4 Baths,3 BHK
Vasundhara Sector 1 ,1085,48.5,2 Baths,3 BHK
Niti khand,2616,205,4 Baths,5 BHK
Morta ,640,26.3,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",3600,265,6 Baths,9 BHK
"Ghaziabad, Gautam Buddh Nagar District",2500,95,3 Baths,5 BHK
Shastri Nagar,1944,80,2 Baths,4 BHK
NH 91,1380,39.9,2 Baths,3 BHK
Duhai ,640,26.2,2 Baths,2 BHK
Morta,620,26.1,2 Baths,2 BHK
"Ghaziabad, Ghaziabad District",1550,50,2 Baths,3 BHK
Niti khand,2200,140,4 Baths,4 BHK
Nyay khand,625,20.1,1 Bath,1 BHK
Vaibhav Khand,510,11.95,1 Bath,1 BHK
Vaishali sector 4,1000,30,2 Baths,2 BHK
Shakti khand 4,950,29.91,2 Baths,2 BHK
Raj Nagar extension,639,14.2,2 Baths,2 BHK
NH 91,1000,33.99,2 Baths,2 BHK
Gyan Khand 1,1450,53.65,2 Baths,3 BHK
"Ghaziabad, Ghaziabad District",550,49,1 Bath,1 BHK
Raj Nagar extension,1700,111,3 Baths,4 BHK
Vaishali sector 6,1250,49,2 Baths,3 BHK
NH 91,1000,45.99,2 Baths,2 BHK
Vaishali sector 1,500,20,1 Bath,1 BHK
"Ghaziabad, Ghaziabad District",3000,68,4 Baths,6 BHK
 Vaishali Sector 2A,550,18,2 Baths,1 BHK
 Wave City ,1284,52,3 Baths,3 BHK
 Wave City ,1746,65,3 Baths,3 BHK
"Ghaziabad, Ghaziabad District",600,24,2 Baths,4 BHK
Niti khand,1350,51.99,2 Baths,3 BHK
Niti khand,1600,108,3 Baths,3 BHK
Gyan Khand,1400,66.75,2 Baths,3 BHK
Shakti Khand 3,600,21,1 Bath,1 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",950,52,2 Baths,2 BHK
Shakti Khand,1450,65.75,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",950,50,2 Baths,2 BHK
Shakti Khand 3,600,23,1 Bath,1 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1425,74,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1725,104,2 Baths,3 BHK
Shakti Khand,3800,285,5 Baths,5 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1250,55,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1050,51,2 Baths,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1525,73,2 Baths,3 BHK
